date,value
2010-01-01,13
2010-02-01,13
2010-03-01,19
2010-04-01,18
2010-05-01,21
2010-06-01,18
2010-07-01,25
2010-08-01,21
2010-09-01,32
2010-10-01,17
2010-11-01,20
2010-12-01,19
2011-01-01,19
2011-02-01,17
2011-03-01,12
2011-04-01,24
2011-05-01,22
2011-06-01,20
2011-07-01,22
2011-08-01,18
2011-09-01,20
2011-10-01,20
2011-11-01,23
2011-12-01,14
2012-01-01,36
2012-02-01,22
2012-03-01,29
2012-04-01,20
2012-05-01,32
2012-06-01,18
2012-07-01,24
2012-08-01,18
2012-09-01,23
2012-10-01,32
2012-11-01,26
2012-12-01,31
2013-01-01,25
2013-02-01,19
2013-03-01,24
2013-04-01,35
2013-05-01,23
2013-06-01,26
2013-07-01,30
2013-08-01,32
2013-09-01,23
2013-10-01,35
2013-11-01,32
2013-12-01,30
2014-01-01,47
2014-02-01,28
2014-03-01,31
2014-04-01,29
2014-05-01,29
2014-06-01,31
2014-07-01,31
2014-08-01,33
2014-09-01,32
2014-10-01,41
2014-11-01,27
2014-12-01,33
2015-01-01,49
2015-02-01,34
2015-03-01,29
2015-04-01,32
2015-05-01,42
2015-06-01,33
2015-07-01,39
2015-08-01,28
2015-09-01,49
2015-10-01,42
2015-11-01,37
2015-12-01,35
2016-01-01,52
2016-02-01,41
2016-03-01,54
2016-04-01,45
2016-05-01,42
2016-06-01,54
2016-07-01,38
2016-08-01,64
2016-09-01,47
2016-10-01,44
2016-11-01,40
2016-12-01,32
2017-01-01,67
2017-02-01,57
2017-03-01,53
2017-04-01,44
2017-05-01,47
2017-06-01,46
2017-07-01,67
2017-08-01,40
2017-09-01,46
2017-10-01,59
2017-11-01,47
2017-12-01,49
2018-01-01,57
2018-02-01,43
2018-03-01,58
2018-04-01,68
2018-05-01,73
2018-06-01,65
2018-07-01,62
2018-08-01,67
2018-09-01,49
2018-10-01,62
2018-11-01,62
2018-12-01,51
2019-01-01,108
2019-02-01,93
2019-03-01,86
2019-04-01,85
2019-05-01,95
2019-06-01,70
2019-07-01,94
2019-08-01,69
2019-09-01,88
2019-10-01,83
2019-11-01,85
2019-12-01,69
